client,scenario,requests,errors,duration_seconds,rps,latency_ms_min,latency_ms_max,latency_ms_mean,latency_ms_p50,latency_ms_p90,latency_ms_p99
finch,health,2936159,0,30.0010,97868.7500,0.2430,8.5200,1.0210,0.9631,1.4955,2.0595
finch,small,2691314,0,30.0008,89708.1223,0.2690,10.7580,1.1139,1.0644,1.6528,2.2761
finch,medium,354286,0,30.0037,11808.0758,0.4910,247.8630,8.4665,7.5571,15.8397,26.1156
finch,large,44417,0,30.0364,1478.7726,4.9540,846.2100,67.5898,58.1229,121.8249,235.7111
finch,json,2785579,0,30.0008,92850.2378,0.2610,10.6040,1.0762,1.0227,1.5879,2.1868
finch,echo,2747701,0,30.0009,91587.2827,0.2530,12.4920,1.0911,1.0433,1.6200,2.2310
finch,stream,44391,0,30.0310,1478.1735,3.9480,609.9670,67.6176,58.1229,124.2860,196.8813
finch,delay,29900,0,30.0562,994.8040,99.3330,102.4860,100.3761,99.7412,101.7561,101.7561
finch,delay_var,27183,0,30.1782,900.7501,19.4470,201.2860,110.5998,110.2314,181.7439,200.8587
finch,delay_post,27151,0,30.1757,899.7647,19.5300,201.4960,110.7375,110.2314,181.7439,200.8587
hackney,health,95734,0,30.0292,3188.0279,0.6740,614.7750,31.3499,9.2304,84.9934,140.1327
hackney,small,94649,0,30.0330,3151.5026,0.7040,623.1100,31.7113,10.4073,84.9934,119.4126
hackney,medium,92084,0,30.0332,3066.0699,1.0700,417.0600,32.5953,17.5056,84.9934,119.4126
hackney,large,44444,0,30.0647,1478.2795,3.2590,997.6670,67.5698,44.8154,145.8518,344.6811
hackney,json,94872,0,30.0307,3159.1705,0.7160,601.4350,31.6358,9.8012,84.9934,119.4126
hackney,echo,95231,0,30.0308,3171.1143,1.1280,468.1440,31.5168,17.1589,84.9934,119.4126
hackney,stream,44422,0,30.0630,1477.6296,2.9520,945.1660,67.6016,42.2055,148.7983,373.3896
hackney,delay,2149,156,34.1802,62.8726,99.7530,8097.5480,1035.2341,101.7561,3650.7884,7351.9565
hackney,delay_var,590,342,32.7297,18.0264,21.8540,8065.0900,736.0251,119.4126,1640.3612,7806.5917
hackney,delay_post,499,362,33.1129,15.0697,21.1010,8170.6160,613.1934,126.7969,568.2926,7806.5917
gun,health,6134045,128891,30.0368,204217.3469,0.2440,2.3390,0.4827,0.4595,0.5842,0.8891
gun,small,4259320,94640,30.0614,141687.3748,0.2950,41.4100,0.6950,0.6456,1.0227,1.2491
gun,medium,354375,9976,30.0772,11782.1770,0.3200,32.4320,8.2007,5.5984,20.5431,31.8979
gun,large,44463,1271,30.2057,1472.0070,1.4040,264.7510,65.5264,49.5288,161.1917,265.7646
gun,json,673189,13587,30.1114,22356.5905,0.2120,81.3660,4.4060,0.7576,2.4656,41.3697
gun,echo,4917128,107246,30.0982,163369.2976,0.2500,4.2910,0.6019,0.5501,0.8715,1.1079
gun,stream,44439,1263,30.1715,1472.8817,1.3870,265.1150,65.5102,42.2055,164.4481,265.7646
gun,delay,1296,24,33.1085,39.1441,99.7630,3104.5880,2401.8377,3110.9800,3110.9800,3110.9800
gun,delay_var,1181,53,32.6221,36.2024,25.5620,4222.9800,2560.7261,2704.5435,3438.1761,3876.5483
gun,delay_post,1203,7,33.3881,36.0308,38.0450,5499.4170,2591.6464,2496.6017,4370.8135,5129.2245
