client,scenario,requests,errors,duration_seconds,rps,latency_ms_min,latency_ms_max,latency_ms_mean,latency_ms_p50,latency_ms_p90,latency_ms_p99
finch,health,2173468,0,20.0008,108668.8413,0.1500,7.8350,0.9195,0.8715,1.3805,1.9787
finch,small,1967052,0,20.0006,98349.8118,0.1640,10.6230,1.0160,0.9631,1.5565,2.2310
finch,large,29628,0,20.0352,1478.7972,4.3330,425.5240,67.5776,62.9640,112.4583,181.7439
finch,json,2043187,0,19.9999,102159.9170,0.1640,7.8690,0.9781,0.9254,1.4955,2.1435
finch,echo,2001322,0,19.9999,100066.7354,0.1490,8.9390,0.9986,0.9254,1.5257,2.2761
finch,stream,29616,0,20.1465,1470.0314,3.0440,648.5390,67.6080,61.7172,114.7302,189.1612
finch,delay,20000,0,20.0832,995.8569,99.2160,102.6420,100.2586,99.7412,101.7561,101.7561
hackney,health,646204,0,20.0025,32306.1327,0.9120,5.5340,3.0943,3.1345,3.6784,3.9058
hackney,small,678090,0,20.0017,33901.5421,1.1360,5.6140,2.9486,2.8935,3.1978,3.6055
hackney,large,29652,0,20.0549,1478.5389,7.7690,144.9030,67.5541,65.5337,80.0436,93.9325
hackney,json,678963,0,20.0019,33944.9252,0.9090,6.3880,2.9449,2.8935,3.1978,3.6784
hackney,echo,682903,0,20.0011,34143.2977,0.9460,5.7910,2.9277,2.8362,3.3283,3.9058
hackney,stream,29641,0,20.0520,1478.2069,3.9910,226.9460,67.5757,65.5337,84.9934,108.0486
hackney,delay,10000,0,20.1179,497.0697,101.4900,204.1180,200.6504,200.8587,200.8587,200.8587
gun,health,4881665,92298,20.0290,243730.3163,0.1190,2.0520,0.4045,0.3916,0.5392,0.7576
gun,small,3195122,69846,20.0911,159031.6868,0.1640,41.3930,0.6177,0.5842,0.9440,1.2491
gun,large,29675,857,20.1637,1471.7069,1.0400,265.2520,65.4487,47.5867,151.8043,265.7646
gun,json,716396,14062,20.0783,35680.1106,0.1120,80.9210,2.7390,0.5392,1.5257,40.5505
gun,echo,3943283,78650,20.0800,196378.4399,0.1270,2.9300,0.5006,0.4688,0.7279,0.9826
gun,stream,29662,701,20.2255,1466.5660,1.3090,267.1540,65.9079,58.1229,142.9637,265.7646
gun,delay,896,54,23.8332,37.5945,100.5900,3906.4480,2325.4487,2496.6017,3799.7849,3876.5483
